direccion_normalizada,lat_orig,lon_orig,lat_snap,lon_snap,snap_dist_m,calle,highway_type,hgv_ok
CALLE ENRIC DELARIS 16|08560|MANLLEU,42.000361,2.282964,42.000360,2.283075,9.19,Carrer Enric Delaris,,1
CALLE ENRIC MORERA 27|08100|MOLLET DEL VALLES,41.544055,2.217529,41.544055,2.217529,0.00,Carrer d'Enric Morera,,1
CALLE ENRIC MORERA 37|08100|MOLLET DEL VALLES,41.544055,2.217529,41.544055,2.217529,0.00,Carrer d'Enric Morera,,1
CALLE ENRIC PRAT DE LA RIBA 49|08500|VIC,41.920584,2.250764,41.920584,2.250764,0.00,Carrer d'Enric Prat de la Riba,,1
CALLE ENRIC PRAT DE LA RIBA 7|08570|TORELLO,42.048603,2.264966,42.048603,2.264966,0.00,Carrer Enric Prat de la Riba,,1
CALLE ERMITA DE SANT SIXT 11|08500|VIC,41.928841,2.243398,41.928819,2.243249,12.60,Carrer del Bisbe Font Andreu,,1
CALLE ESGLESIA 9|08100|MOLLET DEL VALLES,41.539321,2.213440,41.539410,2.213297,15.50,Carrer de Pere Ramon,,1
CALLE ESTEVE GARRELL 3|08402|GRANOLLERS,41.592940,2.290122,41.592940,2.290122,0.00,Carrer d'Esteve Terrades,,1
CALLE FEDERICO GARCIA LORCA 3|08170|MONTORNES DEL VALLES,41.553815,2.267101,41.553737,2.267249,15.08,Carrer de Federico García Lorca,,1
CALLE FRANCESC FERRER I GUARDIA 9|08100|MOLLET DEL VALLES,41.548750,2.208013,41.548828,2.207980,9.09,Carrer de Francesc Ferrer i Guàrdia,,1
CALLE FRANCESC LAYRET 18|08100|MOLLET DEL VALLES,41.546259,2.204145,41.546225,2.204003,12.44,Carrer de Francesc Layret,,1
CALLE FRANCESC LAYRET 19-21|08107|MARTORELLES,41.528679,2.227013,41.528679,2.227013,0.00,Carrer de Francesc Layret,,1
CALLE FRANCESC LAYRET 28|08100|MOLLET DEL VALLES,41.547279,2.203721,41.547248,2.203581,12.18,Carrer de Francesc Layret,,1
CALLE FRANCESC LAYRET 65|08100|MOLLET DEL VALLES,41.546990,2.203547,41.547018,2.203673,10.97,Carrer de Francesc Layret,,1
CALLE FRANCESC MACIA 135|08402|GRANOLLERS,41.599746,2.287096,41.599746,2.287096,0.00,Avinguda de Francesc Macià,,1
CALLE FRANCESC MACIA 160|08401|GRANOLLERS,41.597957,2.286472,41.597929,2.286710,20.09,Avinguda de Francesc Macià,,1
CALLE FRANCESC MACIA 51|08100|MOLLET DEL VALLES,41.534891,2.214658,41.534755,2.214828,20.72,Carrer d'Àngel Guimerà,,1
CALLE FRANCESC MACIA 89|08100|MOLLET DEL VALLES,41.534891,2.214658,41.534755,2.214828,20.72,Carrer d'Àngel Guimerà,,1
CALLE FRANCESC PLA EL VIGATA 6|08500|VIC,41.936207,2.260771,41.936323,2.260727,13.39,"Carrer d'en Francesc Pla ""El Vigatà""",,1
